Timestamp,Accel_X,Accel_Y,Gyro_Z,Mag_X,Mag_Y,GPS_x,GPS_Y,Calc_Accel_X,Calc_Accel_Y,Calc_Gyro_Z,Calc_Mag_X_Y
741,16577,-8,-319,-4111,1542,0.00,0.00,4.962779846191406,-0.00239501953125,-2.43377685546875,-1.2119456863800155
774,16540,-66,-429,-4111,1542,0.00,0.00,4.951702880859375,-0.0197589111328125,-3.27301025390625,-1.2119456863800155
807,16377,-87,-358,-4111,1542,0.00,0.00,4.902904357910156,-0.02604583740234375,-2.7313232421875,-1.2119456863800155
840,16531,42,-420,-4111,1528,0.00,0.00,4.949008483886719,0.012573852539062501,-3.204345703125,-1.2149344869196277
873,16528,-26,-430,-4111,1528,0.00,0.00,4.948110351562501,-0.0077838134765625,-3.2806396484375,-1.2149344869196277
909,16512,34,-368,-4111,1528,0.00,0.00,4.9433203125,0.0101788330078125,-2.8076171875,-1.2149344869196277
944,16553,-35,-510,-4081,1543,160719.00,0.00,4.955594787597657,-0.01047821044921875,-3.8909912109375,-1.2093162176518053
979,16474,-54,-514,-4081,1543,160719.00,0.00,4.931943969726563,-0.0161663818359375,-3.9215087890625,-1.2093162176518053
1014,16445,-99,-421,-4081,1543,160719.00,0.00,4.923262023925782,-0.02963836669921875,-3.21197509765625,-1.2093162176518053
1049,16495,-77,-471,-4073,1532,160719.00,0.00,4.938230895996094,-0.02305206298828125,-3.59344482421875,-1.2110304981653732
1084,16561,-35,-479,-4073,1532,160719.00,0.00,4.957989807128906,-0.01047821044921875,-3.65447998046875,-1.2110304981653732
1119,16517,-215,-446,-4073,1532,160719.00,0.00,4.944817199707032,-0.06436614990234375,-3.4027099609375,-1.2110304981653732
1154,16506,-59,-435,-4092,1575,160719.00,0.00,4.941524047851563,-0.017663269042968752,-3.31878662109375,-1.2033768772229094
1189,16821,-170,-390,-4092,1575,160719.00,0.00,5.0358279418945315,-0.0508941650390625,-2.9754638671875,-1.2033768772229094
1222,16485,69,-458,-4092,1575,160719.00,0.00,4.935237121582031,0.02065704345703125,-3.4942626953125,-1.2033768772229094
1256,16491,-51,-502,-4048,1578,160719.00,0.00,4.937033386230469,-0.01526824951171875,-3.8299560546875,-1.1990946460728789
1289,16545,35,-342,-4048,1578,160719.00,0.00,4.953199768066407,0.01047821044921875,-2.6092529296875,-1.1990946460728789
1322,16531,-68,-414,-4048,1578,160719.00,0.00,4.949008483886719,-0.020357666015625,-3.1585693359375,-1.1990946460728789
1355,16584,-104,-549,-4093,1593,160719.00,0.00,4.96487548828125,-0.03113525390625,-4.18853759765625,-1.1996338915108362
1388,16466,76,-466,-4093,1593,160719.00,0.00,4.929548950195313,0.022752685546875002,-3.5552978515625,-1.1996338915108362
1421,16578,-35,-538,-4093,1593,160719.00,0.00,4.963079223632813,-0.01047821044921875,-4.1046142578125,-1.1996338915108362
1454,16528,-54,-475,-4111,1578,160719.00,0.00,4.948110351562501,-0.0161663818359375,-3.62396240234375,-1.2042909747710264
1487,16505,-61,-453,-4111,1578,160719.00,0.00,4.941224670410157,-0.018262023925781252,-3.45611572265625,-1.2042909747710264
1520,16528,96,-400,-4111,1578,160719.00,0.00,4.948110351562501,0.028740234375,-3.0517578125,-1.2042909747710264
1553,16488,-22,-482,-4121,1570,160719.00,0.00,4.93613525390625,-0.006586303710937501,-3.6773681640625,-1.20679718885419
1586,16617,-59,-545,-4121,1570,160719.00,0.00,4.974754943847657,-0.017663269042968752,-4.15802001953125,-1.20679718885419
1619,16459,-79,-487,-4121,1570,160719.00,0.00,4.927453308105469,-0.02365081787109375,-3.71551513671875,-1.20679718885419
1652,16569,-17,-506,-4110,1562,160719.00,0.00,4.960384826660157,-0.00508941650390625,-3.8604736328125,-1.2076067958646404
1685,16470,30,-196,-4110,1562,160719.00,0.00,4.930746459960938,0.0089813232421875,-1.495361328125,-1.2076067958646404
1718,16616,-80,-497,-4110,1562,160719.00,0.00,4.974455566406251,-0.023950195312500002,-3.79180908203125,-1.2076067958646404
1751,16474,-56,-304,-4102,1573,160719.00,0.00,4.931943969726563,-0.01676513671875,-2.3193359375,-1.2046193712723976
1784,16429,-5,-373,-4102,1573,160719.00,0.00,4.918471984863282,-0.0014968872070312501,-2.84576416015625,-1.2046193712723976
1817,16493,-25,-351,-4102,1573,160719.00,0.00,4.937632141113282,-0.00748443603515625,-2.67791748046875,-1.2046193712723976
1850,16538,-171,-413,-4109,1586,160719.00,0.00,4.9511041259765625,-0.05119354248046875,-3.15093994140625,-1.2024325412994257
1884,16505,-43,-463,-4109,1586,160719.00,0.00,4.941224670410157,-0.012873229980468751,-3.53240966796875,-1.2024325412994257
